acc,biosample,platform
ERR4969317,SAMEA7689668,OXFORD_NANOPORE
ERR4969198,SAMEA7689668,ILLUMINA
ERR4969394,SAMEA7689668,OXFORD_NANOPORE
ERR4969444,SAMEA7689669,OXFORD_NANOPORE
ERR4969367,SAMEA7689669,OXFORD_NANOPORE
ERR4969208,SAMEA7689669,ILLUMINA
ERR4969211,SAMEA7689670,ILLUMINA
ERR4969363,SAMEA7689670,OXFORD_NANOPORE
ERR4969360,SAMEA7689671,OXFORD_NANOPORE
ERR4969205,SAMEA7689671,ILLUMINA
ERR4969442,SAMEA7689672,OXFORD_NANOPORE
ERR4969210,SAMEA7689672,ILLUMINA
ERR4969364,SAMEA7689672,OXFORD_NANOPORE
ERR4969362,SAMEA7689674,OXFORD_NANOPORE
ERR4969206,SAMEA7689674,ILLUMINA
ERR4969368,SAMEA7689676,OXFORD_NANOPORE
ERR4969215,SAMEA7689676,ILLUMINA
ERR4969446,SAMEA7689676,OXFORD_NANOPORE
ERR4969445,SAMEA7689677,OXFORD_NANOPORE
ERR4969365,SAMEA7689677,OXFORD_NANOPORE
ERR4969209,SAMEA7689677,ILLUMINA
ERR4969213,SAMEA7689678,ILLUMINA
ERR4969443,SAMEA7689678,OXFORD_NANOPORE
ERR4969361,SAMEA7689678,OXFORD_NANOPORE
ERR4969207,SAMEA7689679,ILLUMINA
ERR4969366,SAMEA7689679,OXFORD_NANOPORE
ERR4969441,SAMEA7689679,OXFORD_NANOPORE
ERR5504174,SAMEA8366888,OXFORD_NANOPORE
ERR5629480,SAMEA8366888,ILLUMINA
ERR5506471,SAMEA8369092,OXFORD_NANOPORE
ERR5628809,SAMEA8369092,ILLUMINA
ERR5627824,SAMEA8369346,ILLUMINA
ERR5506735,SAMEA8369346,OXFORD_NANOPORE
ERR5631815,SAMEA8369643,ILLUMINA
ERR5507040,SAMEA8369643,OXFORD_NANOPORE
ERR5634532,SAMEA8371302,ILLUMINA
ERR5508755,SAMEA8371302,OXFORD_NANOPORE
ERR5632429,SAMEA8371686,ILLUMINA
ERR5509159,SAMEA8371686,OXFORD_NANOPORE
ERR5631335,SAMEA8371701,ILLUMINA
ERR5509172,SAMEA8371701,OXFORD_NANOPORE
ERR5512392,SAMEA8372286,OXFORD_NANOPORE
ERR5509766,SAMEA8372286,ILLUMINA
ERR5631732,SAMEA8373217,ILLUMINA
ERR5510726,SAMEA8373217,OXFORD_NANOPORE
ERR5633724,SAMEA8376605,ILLUMINA
ERR5514246,SAMEA8376605,OXFORD_NANOPORE
ERR5514452,SAMEA8376807,OXFORD_NANOPORE
ERR5629633,SAMEA8376807,ILLUMINA
ERR5515901,SAMEA8378398,OXFORD_NANOPORE
ERR5630017,SAMEA8378398,ILLUMINA
