id,country,locality,state,subregion,submitted,collected
epi_isl_427199,USA,,Washington,North America,20200417,20200326
epi_isl_427198,USA,,Washington,North America,20200417,20200326
epi_isl_427197,USA,,Washington,North America,20200417,20200325
epi_isl_427196,USA,,Washington,North America,20200417,20200326
epi_isl_427195,USA,,Washington,North America,20200417,20200326
epi_isl_427194,USA,,Washington,North America,20200417,20200326
epi_isl_427193,USA,,Washington,North America,20200417,20200326
epi_isl_427192,USA,,Washington,North America,20200417,20200325
epi_isl_427191,USA,,Washington,North America,20200417,20200327
epi_isl_427190,USA,,Washington,North America,20200417,20200326
epi_isl_427189,USA,,Washington,North America,20200417,20200326
epi_isl_427188,USA,,Washington,North America,20200417,20200326
epi_isl_427187,USA,,Washington,North America,20200417,20200326
epi_isl_427186,USA,,Washington,North America,20200417,20200326
epi_isl_427185,USA,,Washington,North America,20200417,20200326
epi_isl_427184,USA,,Washington,North America,20200417,20200325
epi_isl_427183,USA,,Washington,North America,20200417,20200325
epi_isl_427182,USA,,Washington,North America,20200417,20200326
epi_isl_427181,USA,,Washington,North America,20200417,20200326
epi_isl_427180,USA,,Washington,North America,20200417,20200326
epi_isl_427179,USA,,Washington,North America,20200417,20200326
epi_isl_427178,USA,,Washington,North America,20200417,20200327
epi_isl_427177,USA,,Washington,North America,20200417,20200326
epi_isl_427176,USA,,Washington,North America,20200417,20200326
epi_isl_427175,USA,,Washington,North America,20200417,20200326
epi_isl_427174,USA,,Washington,North America,20200417,20200326
epi_isl_427173,USA,,Oregon,North America,20200417,20200331
epi_isl_427172,USA,,Idaho,North America,20200417,20200329
epi_isl_427171,USA,,Idaho,North America,20200417,20200329
epi_isl_427170,USA,,Idaho,North America,20200417,20200330
epi_isl_427169,USA,,Idaho,North America,20200417,20200330
epi_isl_427168,USA,,Idaho,North America,20200417,20200329
epi_isl_427167,USA,,Idaho,North America,20200417,20200326
epi_isl_427166,USA,,Idaho,North America,20200417,20200325
epi_isl_427165,USA,,Connecticut,North America,20200417,20200330
epi_isl_427164,USA,,Connecticut,North America,20200417,20200331
epi_isl_427163,USA,,Connecticut,North America,20200417,20200331
epi_isl_427162,USA,,Connecticut,North America,20200417,20200330
epi_isl_427161,USA,,Connecticut,North America,20200417,20200325
epi_isl_427043,Greece,,Athens,Europe,20200417,20200318
epi_isl_427160,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427159,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427158,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427157,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427156,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427155,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427154,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_427153,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_427152,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_427151,Australia,,Victoria,Oceania,20200417,20200326
epi_isl_427150,Australia,,Victoria,Oceania,20200417,20200326
epi_isl_427149,Australia,,Victoria,Oceania,20200417,20200408
epi_isl_427148,Australia,,Victoria,Oceania,20200417,20200408
epi_isl_427147,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427146,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427145,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427144,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427143,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427142,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427141,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427140,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427139,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427138,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427137,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427136,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427135,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427134,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427133,Australia,,Victoria,Oceania,20200417,20200406
epi_isl_427132,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427131,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427130,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427129,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427128,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427127,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427126,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427125,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427124,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427123,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427122,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427121,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427120,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427119,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427118,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427117,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427116,Australia,,Victoria,Oceania,20200417,20200405
epi_isl_427115,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427114,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427113,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427112,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427111,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427110,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427109,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427108,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427107,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427106,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427105,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427104,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427103,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427102,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427101,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427100,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427099,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427098,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427097,Australia,,Victoria,Oceania,20200417,20200404
epi_isl_427096,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427095,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427094,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427093,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427092,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427091,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427090,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427089,Australia,,Victoria,Oceania,20200417,20200403
epi_isl_427088,Australia,,Victoria,Oceania,20200417,20200402
epi_isl_427087,Australia,,Victoria,Oceania,20200417,20200402
epi_isl_427086,Australia,,Victoria,Oceania,20200417,20200402
epi_isl_427085,Australia,,Victoria,Oceania,20200417,20200402
epi_isl_427084,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427083,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_427082,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_427081,Australia,,Victoria,Oceania,20200417,20200324
epi_isl_427080,Australia,,Victoria,Oceania,20200417,20200323
epi_isl_427079,Australia,,Victoria,Oceania,20200417,20200316
epi_isl_427078,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427077,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427076,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427075,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427074,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427073,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427072,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427071,Australia,,Victoria,Oceania,20200417,20200401
epi_isl_427070,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427069,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427068,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427067,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427066,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427065,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427064,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427063,Australia,,Victoria,Oceania,20200417,20200331
epi_isl_427062,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427061,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427060,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427059,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427058,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427057,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427056,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427055,Australia,,Victoria,Oceania,20200417,20200330
